date,brand,product_category,region,sales_volume,revenue,avg_price,cost,profit,customer_satisfaction,year,quarter,month_name,market_share
2022-01-01,Brand A,Electronics,North,783,409441.4,522.54,266136.91,143304.49,7.7,2022,Q1,January,5.26
2022-01-01,Brand A,Electronics,South,838,404736.99,482.8,263079.04,141657.94,7.2,2022,Q1,January,5.2
2022-01-01,Brand A,Electronics,East,706,366064.71,518.31,237942.06,128122.65,7.6,2022,Q1,January,4.71
2022-01-01,Brand A,Electronics,West,865,411782.49,476.03,267658.62,144123.87,8.0,2022,Q1,January,5.3
2022-01-01,Brand A,Electronics,Central,895,434828.81,485.62,282638.73,152190.08,7.2,2022,Q1,January,5.59
2022-01-01,Brand A,Home Appliances,North,602,206884.53,343.15,134474.95,72409.59,7.5,2022,Q1,January,3.79
2022-01-01,Brand A,Home Appliances,South,652,223631.95,342.69,145360.76,78271.18,7.6,2022,Q1,January,4.1
2022-01-01,Brand A,Home Appliances,East,594,203621.63,342.73,132354.06,71267.57,7.4,2022,Q1,January,3.73
2022-01-01,Brand A,Home Appliances,West,657,236649.32,359.98,153822.06,82827.26,7.2,2022,Q1,January,4.34
2022-01-01,Brand A,Home Appliances,Central,669,236320.22,353.23,153608.14,82712.08,7.0,2022,Q1,January,4.33
2022-01-01,Brand A,Personal Care,North,764,36944.96,48.35,24014.22,12930.74,7.1,2022,Q1,January,4.68
2022-01-01,Brand A,Personal Care,South,839,43948.9,52.33,28566.78,15382.11,7.8,2022,Q1,January,5.57
2022-01-01,Brand A,Personal Care,East,696,33438.55,47.99,21735.06,11703.49,7.7,2022,Q1,January,4.24
2022-01-01,Brand A,Personal Care,West,726,34971.43,48.11,22731.43,12240.0,7.5,2022,Q1,January,4.43
2022-01-01,Brand A,Personal Care,Central,636,33143.26,52.05,21543.12,11600.14,7.3,2022,Q1,January,4.2
2022-01-01,Brand A,Kitchen,North,737,108537.29,147.18,70549.24,37988.05,7.5,2022,Q1,January,4.69
2022-01-01,Brand A,Kitchen,South,713,103584.82,145.27,67330.14,36254.69,8.0,2022,Q1,January,4.48
2022-01-01,Brand A,Kitchen,East,761,119201.86,156.59,77481.21,41720.65,7.9,2022,Q1,January,5.15
2022-01-01,Brand A,Kitchen,West,723,113155.8,156.33,73551.27,39604.53,7.1,2022,Q1,January,4.89
2022-01-01,Brand A,Kitchen,Central,639,91498.0,143.18,59473.7,32024.3,7.3,2022,Q1,January,3.96
2022-01-01,Brand B,Electronics,North,1030,578865.54,561.85,395292.08,183573.46,8.1,2022,Q1,January,7.44
2022-01-01,Brand B,Electronics,South,995,575045.86,577.46,353131.31,221914.56,8.5,2022,Q1,January,7.39
2022-01-01,Brand B,Electronics,East,929,560686.19,603.0,379710.41,180975.78,7.9,2022,Q1,January,7.21
2022-01-01,Brand B,Electronics,West,907,538428.62,593.14,361116.4,177312.23,8.4,2022,Q1,January,6.92
2022-01-01,Brand B,Electronics,Central,1152,634525.63,550.51,403460.95,231064.68,7.8,2022,Q1,January,8.16
2022-01-01,Brand B,Home Appliances,North,1083,441479.95,407.46,279496.46,161983.5,7.8,2022,Q1,January,8.09
2022-01-01,Brand B,Home Appliances,South,921,364478.97,395.46,245280.0,119198.98,8.3,2022,Q1,January,6.68
2022-01-01,Brand B,Home Appliances,East,1090,437727.67,401.38,267871.57,169856.1,8.4,2022,Q1,January,8.03
2022-01-01,Brand B,Home Appliances,West,1053,426629.78,404.97,288869.63,137760.16,8.2,2022,Q1,January,7.82
2022-01-01,Brand B,Home Appliances,Central,983,393077.23,399.58,236845.5,156231.72,7.8,2022,Q1,January,7.21
2022-01-01,Brand B,Personal Care,North,687,40043.34,58.28,25284.79,14758.55,8.2,2022,Q1,January,5.08
2022-01-01,Brand B,Personal Care,South,897,50292.89,56.06,32239.67,18053.22,8.5,2022,Q1,January,6.38
2022-01-01,Brand B,Personal Care,East,734,40439.88,55.07,25435.68,15004.2,7.9,2022,Q1,January,5.13
2022-01-01,Brand B,Personal Care,West,902,53490.26,59.27,35482.25,18008.01,8.6,2022,Q1,January,6.78
2022-01-01,Brand B,Personal Care,Central,872,48581.56,55.7,33485.13,15096.43,8.2,2022,Q1,January,6.16
2022-01-01,Brand B,Kitchen,North,970,173980.25,179.33,109920.78,64059.47,7.8,2022,Q1,January,7.52
2022-01-01,Brand B,Kitchen,South,815,139688.41,171.24,95239.76,44448.65,8.6,2022,Q1,January,6.04
2022-01-01,Brand B,Kitchen,East,756,130696.72,172.69,83873.46,46823.26,7.9,2022,Q1,January,5.65
2022-01-01,Brand B,Kitchen,West,786,133542.26,169.7,92717.18,40825.07,8.0,2022,Q1,January,5.77
2022-01-01,Brand B,Kitchen,Central,893,157211.74,176.0,100043.73,57168.01,8.7,2022,Q1,January,6.8
2022-01-01,Brand C,Electronics,North,682,316249.32,463.21,205475.04,110774.28,7.6,2022,Q1,January,4.07
2022-01-01,Brand C,Electronics,South,560,254068.87,453.0,167928.45,86140.41,7.8,2022,Q1,January,3.27
2022-01-01,Brand C,Electronics,East,518,241013.17,464.49,166498.3,74514.86,7.5,2022,Q1,January,3.1
2022-01-01,Brand C,Electronics,West,535,254181.63,474.5,177562.4,76619.23,7.5,2022,Q1,January,3.27
2022-01-01,Brand C,Electronics,Central,630,307331.11,487.43,191702.01,115629.1,8.0,2022,Q1,January,3.95
2022-01-01,Brand C,Home Appliances,North,639,215531.02,336.9,142973.14,72557.88,7.8,2022,Q1,January,3.95
2022-01-01,Brand C,Home Appliances,South,584,200791.17,343.65,126915.68,73875.49,7.5,2022,Q1,January,3.68
2022-01-01,Brand C,Home Appliances,East,574,192722.66,335.52,128691.8,64030.86,7.3,2022,Q1,January,3.53
2022-01-01,Brand C,Home Appliances,West,668,216225.99,323.41,143685.91,72540.09,7.5,2022,Q1,January,3.96
2022-01-01,Brand C,Home Appliances,Central,704,231537.98,328.73,160611.64,70926.33,7.4,2022,Q1,January,4.24
2022-01-01,Brand C,Personal Care,North,761,34763.63,45.66,24072.75,10690.88,8.2,2022,Q1,January,4.41
2022-01-01,Brand C,Personal Care,South,741,35777.82,48.26,24390.54,11387.29,7.9,2022,Q1,January,4.54
2022-01-01,Brand C,Personal Care,East,806,37320.68,46.27,22739.87,14580.81,8.2,2022,Q1,January,4.73
2022-01-01,Brand C,Personal Care,West,895,43099.38,48.13,27320.83,15778.55,7.6,2022,Q1,January,5.46
2022-01-01,Brand C,Personal Care,Central,853,42155.97,49.39,29033.18,13122.79,8.1,2022,Q1,January,5.34
2022-01-01,Brand C,Kitchen,North,659,90115.69,136.57,55525.94,34589.75,8.2,2022,Q1,January,3.9
2022-01-01,Brand C,Kitchen,South,653,88495.08,135.51,53995.02,34500.06,8.0,2022,Q1,January,3.83
2022-01-01,Brand C,Kitchen,East,538,74187.91,137.67,48583.69,25604.22,8.0,2022,Q1,January,3.21
2022-01-01,Brand C,Kitchen,West,661,91694.51,138.57,61547.0,30147.51,7.5,2022,Q1,January,3.96
2022-01-01,Brand C,Kitchen,Central,599,87565.89,146.01,58228.1,29337.79,8.1,2022,Q1,January,3.79
2022-01-01,Brand D,Electronics,North,434,185755.85,427.9,113193.57,72562.28,6.9,2022,Q1,January,2.39
2022-01-01,Brand D,Electronics,South,385,159564.45,414.12,111264.46,48299.99,6.9,2022,Q1,January,2.05
2022-01-01,Brand D,Electronics,East,463,199467.27,430.57,135534.25,63933.02,7.0,2022,Q1,January,2.56
2022-01-01,Brand D,Electronics,West,424,180095.28,424.68,111573.4,68521.88,7.2,2022,Q1,January,2.32
2022-01-01,Brand D,Electronics,Central,387,156750.87,404.78,104168.36,52582.51,6.7,2022,Q1,January,2.02
2022-01-01,Brand D,Home Appliances,North,498,155069.82,311.0,107228.68,47841.14,6.9,2022,Q1,January,2.84
2022-01-01,Brand D,Home Appliances,South,376,116773.56,310.24,75064.19,41709.37,7.5,2022,Q1,January,2.14
