Feature,Ranking,Selected,Tentative
CentralAir_Y,1,True,False
GrLivArea,1,True,False
RemodAge,1,True,False
2ndFlrSF,1,True,False
1stFlrSF,1,True,False
HouseAge,1,True,False
BsmtUnfSF,1,True,False
TotalBathrooms,1,True,False
BsmtFinSF1,1,True,False
TotalPorchSF,1,True,False
YearRemodAdd,1,True,False
YearBuilt,1,True,False
GarageCars,1,True,False
OverallQual,1,True,False
LotArea,1,True,False
GarageArea,1,True,False
TotalSF,1,True,False
OverallScore,1,True,False
MSZoning_RM,2,False,True
TotalBsmtSF,2,False,True
LotFrontage,2,False,True
GarageType_Detchd,3,False,False
OverallCond,4,False,False
GarageYrBlt,5,False,False
GarageQual_TA,6,False,False
BsmtQual_Gd,7,False,False
KitchenQual_TA,8,False,False
GarageAge,9,False,False
OpenPorchSF,9,False,False
LotShape_Reg,11,False,False
GarageFinish_Unf,12,False,False
Fireplaces,13,False,False
KitchenQual_Gd,13,False,False
HasFireplace,15,False,False
MSSubClass,15,False,False
Neighborhood_OldTown,17,False,False
FireplaceQu_None,18,False,False
GarageCond_TA,19,False,False
SaleCondition_Family,19,False,False
BsmtExposure_Gd,21,False,False
MoSold,21,False,False
MasVnrArea,23,False,False
FullBath,24,False,False
KitchenAbvGr,25,False,False
WoodDeckSF,26,False,False
MSZoning_RL,26,False,False
EnclosedPorch,29,False,False
TotRmsAbvGrd,29,False,False
Exterior1st_BrkComm,29,False,False
Neighborhood_IDOTRR,31,False,False
Exterior2nd_Brk Cmn,32,False,False
ExterCond_Fa,33,False,False
BedroomAbvGr,34,False,False
BsmtQual_TA,35,False,False
PavedDrive_Y,36,False,False
ExterQual_TA,37,False,False
SaleCondition_Normal,38,False,False
GarageType_Attchd,38,False,False
Neighborhood_Edwards,40,False,False
FireplaceQu_Gd,41,False,False
Functional_Typ,42,False,False
Neighborhood_Crawfor,42,False,False
BsmtExposure_No,44,False,False
KitchenQual_Fa,45,False,False
Condition1_Norm,46,False,False
BsmtFinType1_Unf,47,False,False
Fence_GdWo,48,False,False
BsmtFullBath,48,False,False
ExterQual_Gd,50,False,False
YrSold,51,False,False
BsmtFinType1_GLQ,52,False,False
LandSlope_Mod,52,False,False
Alley_None,54,False,False
HalfBath,55,False,False
Exterior1st_VinylSd,56,False,False
Neighborhood_NAmes,56,False,False
ExterCond_TA,58,False,False
LandContour_Lvl,59,False,False
HeatingQC_Fa,60,False,False
Neighborhood_NridgHt,61,False,False
ScreenPorch,62,False,False
Fence_None,63,False,False
Exterior2nd_VinylSd,64,False,False
GarageQual_Fa,65,False,False
HeatingQC_TA,66,False,False
Functional_Maj2,67,False,False
Foundation_PConc,67,False,False
ExterQual_Fa,69,False,False
Exterior1st_BrkFace,70,False,False
SaleType_WD,71,False,False
Electrical_SBrkr,71,False,False
HouseStyle_2Story,73,False,False
GarageFinish_RFn,74,False,False
Foundation_CBlock,75,False,False
Exterior2nd_Stucco,75,False,False
Functional_Mod,77,False,False
BsmtFinSF2,78,False,False
Neighborhood_NoRidge,79,False,False
PoolArea,80,False,False
HouseStyle_SLvl,81,False,False
BsmtFinType2_BLQ,82,False,False
BsmtHalfBath,83,False,False
BldgType_Duplex,84,False,False
RoofStyle_Gable,85,False,False
LotConfig_Inside,86,False,False
Condition1_Feedr,87,False,False
FireplaceQu_TA,87,False,False
MasVnrType_BrkFace,89,False,False
SaleCondition_Partial,89,False,False
Exterior2nd_Wd Sdng,91,False,False
LandContour_HLS,91,False,False
LotConfig_CulDSac,94,False,False
Exterior1st_Plywood,94,False,False
GarageType_CarPort,94,False,False
Exterior2nd_Plywood,96,False,False
Exterior1st_Wd Sdng,96,False,False
Neighborhood_CollgCr,98,False,False
BsmtCond_TA,99,False,False
HasPool,100,False,False
RoofMatl_CompShg,101,False,False
RoofStyle_Hip,103,False,False
Exterior1st_MetalSd,103,False,False
Alley_Pave,103,False,False
GarageCond_Fa,105,False,False
HouseStyle_1Story,106,False,False
MasVnrType_Stone,107,False,False
PoolQC_None,107,False,False
Heating_Grav,109,False,False
Neighborhood_Sawyer,110,False,False
FireplaceQu_Po,112,False,False
GarageQual_None,112,False,False
GarageCond_None,112,False,False
GarageType_None,114,False,False
Exterior2nd_MetalSd,114,False,False
Neighborhood_ClearCr,116,False,False
SaleType_New,117,False,False
HasGarage,117,False,False
Condition2_Norm,119,False,False
Neighborhood_StoneBr,120,False,False
GarageFinish_None,121,False,False
Exterior2nd_HdBoard,121,False,False
Street_Pave,123,False,False
Exterior2nd_BrkFace,124,False,False
RoofStyle_Gambrel,125,False,False
Neighborhood_Somerst,126,False,False
Fence_MnPrv,127,False,False
HeatingQC_Gd,128,False,False
ExterCond_Gd,128,False,False
BsmtFinType1_Rec,130,False,False
SaleType_ConLD,131,False,False
Neighborhood_BrkSide,132,False,False
Functional_Min1,133,False,False
MiscVal,133,False,False
PavedDrive_P,135,False,False
Exterior2nd_CmentBd,136,False,False
LandContour_Low,137,False,False
BsmtFinType2_Unf,138,False,False
BsmtQual_Fa,139,False,False
Neighborhood_NWAmes,140,False,False
RoofMatl_Tar&Grv,141,False,False
Has2ndFloor,142,False,False
LotShape_IR2,142,False,False
GarageType_Basment,144,False,False
Neighborhood_Mitchel,145,False,False
MiscFeature_None,145,False,False
BldgType_Twnhs,147,False,False
Exterior1st_Stucco,147,False,False
Heating_GasA,149,False,False
LowQualFinSF,149,False,False
Functional_Min2,151,False,False
BsmtFinType1_LwQ,152,False,False
SaleCondition_Alloca,152,False,False
GarageType_BuiltIn,154,False,False
Exterior1st_HdBoard,155,False,False
BsmtFinType1_BLQ,156,False,False
Neighborhood_MeadowV,156,False,False
Condition1_RRAe,158,False,False
BsmtCond_Gd,159,False,False
Exterior1st_CemntBd,159,False,False
Exterior2nd_Wd Shng,161,False,False
BsmtExposure_Mn,162,False,False
Neighborhood_SWISU,163,False,False
Neighborhood_BrDale,164,False,False
Condition1_PosA,165,False,False
BldgType_2fmCon,166,False,False
LotShape_IR3,166,False,False
MiscFeature_Shed,168,False,False
Neighborhood_Timber,168,False,False
Electrical_FuseF,170,False,False
LotConfig_FR2,171,False,False
3SsnPorch,172,False,False
Heating_GasW,173,False,False
Neighborhood_Gilbert,174,False,False
BsmtFinType2_Rec,174,False,False
Condition1_PosN,176,False,False
Condition1_RRAn,177,False,False
Neighborhood_NPkVill,177,False,False
PoolQC_Gd,179,False,False
BldgType_TwnhsE,180,False,False
BsmtFinType2_None,180,False,False
Neighborhood_SawyerW,182,False,False
Exterior1st_WdShing,183,False,False
MSZoning_FV,184,False,False
Heating_OthW,185,False,False
Neighborhood_Veenker,185,False,False
Exterior2nd_ImStucc,187,False,False
BsmtQual_None,188,False,False
MSZoning_RH,189,False,False
BsmtFinType2_LwQ,190,False,False
BsmtCond_Po,190,False,False
BsmtCond_None,192,False,False
Electrical_FuseP,192,False,False
Foundation_Slab,194,False,False
HasBsmt,195,False,False
GarageCond_Po,196,False,False
BsmtExposure_None,197,False,False
HouseStyle_2.5Fin,198,False,False
HouseStyle_2.5Unf,199,False,False
Condition2_PosN,200,False,False
BsmtFinType1_None,201,False,False
LandSlope_Sev,202,False,False
HouseStyle_SFoyer,203,False,False
GarageQual_Po,204,False,False
SaleType_Oth,205,False,False
SaleType_ConLw,206,False,False
SaleType_CWD,207,False,False
BsmtFinType2_GLQ,208,False,False
HouseStyle_1.5Unf,209,False,False
RoofMatl_WdShngl,210,False,False
RoofStyle_Shed,211,False,False
SaleCondition_AdjLand,212,False,False
Condition2_Feedr,212,False,False
GarageCond_Gd,214,False,False
FireplaceQu_Fa,215,False,False
Heating_Wall,216,False,False
GarageQual_Gd,217,False,False
MiscFeature_Othr,218,False,False
ExterCond_Po,220,False,False
Electrical_Mix,220,False,False
LotConfig_FR3,220,False,False
RoofMatl_WdShake,222,False,False
SaleType_ConLI,223,False,False
Functional_Sev,225,False,False
Neighborhood_Blueste,225,False,False
Condition1_RRNn,225,False,False
Foundation_Wood,228,False,False
RoofMatl_Metal,228,False,False
PoolQC_Fa,228,False,False
Exterior2nd_AsphShn,232,False,False
MiscFeature_TenC,232,False,False
Exterior2nd_Other,232,False,False
Condition2_RRAn,232,False,False
Foundation_Stone,232,False,False
SaleType_Con,232,False,False
Exterior2nd_CBlock,243,False,False
Exterior2nd_Stone,243,False,False
HeatingQC_Po,243,False,False
Condition1_RRNe,243,False,False
Condition2_PosA,243,False,False
RoofMatl_Membran,243,False,False
RoofMatl_Roll,243,False,False
Fence_MnWw,243,False,False
Exterior1st_AsphShn,243,False,False
Exterior1st_ImStucc,243,False,False
Condition2_RRAe,243,False,False
RoofStyle_Mansard,243,False,False
Utilities_NoSeWa,243,False,False
Exterior1st_Stone,243,False,False
